"year_month","Nation","CartPriceInCP"
"2021-05","Alaron",1038372
"2021-06","Alaron",1075804
"2021-07","Alaron",1112203
"2021-08","Alaron",958225
"2021-09","Alaron",1050687
"2021-10","Alaron",1345399
"2021-11","Alaron",1381242
"2021-12","Alaron",1187174
"2022-01","Alaron",1298908
"2022-02","Alaron",1141065
"2022-03","Alaron",1105109
"2022-04","Alaron",1186875
"2022-05","Alaron",1062342
"2022-06","Alaron",1171766
"2022-07","Alaron",1068804
"2022-08","Alaron",1450691
"2022-09","Alaron",1094711
"2022-10","Alaron",1372626
"2022-11","Alaron",1203679
"2022-12","Alaron",1440306
"2023-01","Alaron",1510753
"2023-02","Alaron",1017452
"2023-03","Alaron",1082158
"2023-04","Alaron",1030304
"2023-05","Alaron",1051719
"2023-06","Alaron",1341299
"2023-07","Alaron",1177204
"2023-08","Alaron",1277962
"2023-09","Alaron",1030710
"2023-10","Alaron",1050637
"2023-11","Alaron",948134
"2023-12","Alaron",1016498
"2019-01","Amn",2442687
"2019-02","Amn",2170567
"2019-03","Amn",2550982
"2019-04","Amn",2243227
"2019-05","Amn",2723816
"2019-06","Amn",2314335
"2019-07","Amn",2252953
"2019-08","Amn",2627733
"2019-09","Amn",2531043
"2019-10","Amn",2589659
"2019-11","Amn",2255259
"2019-12","Amn",2371830
"2020-01","Amn",2148507
"2020-02","Amn",2241035
"2020-03","Amn",2578788
"2020-04","Amn",2475666
"2020-05","Amn",2202032
"2020-06","Amn",2193560
"2020-07","Amn",2260577
"2020-08","Amn",2503476
"2020-09","Amn",2491855
"2020-10","Amn",2538297
"2020-11","Amn",2373575
"2020-12","Amn",2379176
"2021-01","Amn",2447165
"2021-02","Amn",2109408
"2021-03","Amn",2437061
"2021-04","Amn",2553597
"2021-05","Amn",2572805
"2021-06","Amn",2556188
"2021-07","Amn",2362414
"2021-08","Amn",2451727
"2021-09","Amn",2809019
"2021-10","Amn",2851741
"2021-11","Amn",3015271
"2021-12","Amn",3281432
"2022-01","Amn",3107400
"2022-02","Amn",2795894
"2022-03","Amn",2908581
"2022-04","Amn",2655955
"2022-05","Amn",3104503
"2022-06","Amn",3034631
"2022-07","Amn",2796629
"2022-08","Amn",2713172
"2022-09","Amn",2626867
"2022-10","Amn",2914156
"2022-11","Amn",2885266
"2022-12","Amn",3039446
"2023-01","Amn",3289924
"2023-02","Amn",2496972
"2023-03","Amn",3046490
"2023-04","Amn",2909880
"2023-05","Amn",2826854
"2023-06","Amn",2837145
"2023-07","Amn",2658442
"2023-08","Amn",3019850
"2023-09","Amn",3222114
"2023-10","Amn",2501870
"2023-11","Amn",2458911
"2023-12","Amn",2356081
"2019-01","Arn Rock",232238
"2019-02","Arn Rock",99603
"2019-03","Arn Rock",158611
"2019-04","Arn Rock",130890
"2019-05","Arn Rock",134147
"2019-06","Arn Rock",104246
"2019-07","Arn Rock",130341
"2019-08","Arn Rock",140107
"2019-09","Arn Rock",156211
"2019-10","Arn Rock",186030
"2019-11","Arn Rock",85984
"2019-12","Arn Rock",130142
"2020-01","Arn Rock",134297
"2020-02","Arn Rock",131877
"2020-03","Arn Rock",131719
"2020-04","Arn Rock",105154
"2020-05","Arn Rock",136572
"2020-06","Arn Rock",120956
"2020-07","Arn Rock",174116
"2020-08","Arn Rock",117524
"2020-09","Arn Rock",132065
"2020-10","Arn Rock",146050
"2020-11","Arn Rock",144804
"2020-12","Arn Rock",124350
"2021-01","Arn Rock",170118
"2021-02","Arn Rock",180494
"2021-03","Arn Rock",40154
"2021-04","Arn Rock",74153
"2021-05","Arn Rock",82123
"2021-06","Arn Rock",140551
"2021-07","Arn Rock",151160
"2021-08","Arn Rock",181585
"2021-09","Arn Rock",138988
"2021-10","Arn Rock",213302
"2021-11","Arn Rock",105288
"2021-12","Arn Rock",225529
"2022-01","Arn Rock",187456
"2022-02","Arn Rock",164334
"2022-03","Arn Rock",200809
"2022-04","Arn Rock",123859
"2022-05","Arn Rock",99901
"2022-06","Arn Rock",94555
"2022-07","Arn Rock",116386
"2022-08","Arn Rock",169683
"2022-09","Arn Rock",157973
"2022-10","Arn Rock",92170
"2022-11","Arn Rock",116185
"2022-12","Arn Rock",180510
"2023-01","Arn Rock",200728
"2023-02","Arn Rock",139782
"2023-03","Arn Rock",138460
"2023-04","Arn Rock",165192
"2023-05","Arn Rock",123102
"2023-06","Arn Rock",210048
"2023-07","Arn Rock",95514
"2023-08","Arn Rock",137216
"2023-09","Arn Rock",174259
"2023-10","Arn Rock",125980
"2023-11","Arn Rock",162610
"2023-12","Arn Rock",99102
"2019-01","Baldur's Gate",1920611
"2019-02","Baldur's Gate",1502254
"2019-03","Baldur's Gate",1858918
"2019-04","Baldur's Gate",2034016
"2019-05","Baldur's Gate",2136968
"2019-06","Baldur's Gate",1819403
"2019-07","Baldur's Gate",2210408
"2019-08","Baldur's Gate",1948619
"2019-09","Baldur's Gate",2017585
"2019-10","Baldur's Gate",1999629
"2019-11","Baldur's Gate",1857734
"2019-12","Baldur's Gate",2030228
"2020-01","Baldur's Gate",2019181
"2020-02","Baldur's Gate",1962371
"2020-03","Baldur's Gate",1840865
"2020-04","Baldur's Gate",1834799
"2020-05","Baldur's Gate",2232455
"2020-06","Baldur's Gate",2317960
"2020-07","Baldur's Gate",1807660
"2020-08","Baldur's Gate",1695554
"2020-09","Baldur's Gate",2062887
"2020-10","Baldur's Gate",2202503
"2020-11","Baldur's Gate",2218626
"2020-12","Baldur's Gate",2027650
"2021-01","Baldur's Gate",1942197
"2021-02","Baldur's Gate",1948833
"2021-03","Baldur's Gate",1893673
"2021-04","Baldur's Gate",1848959
"2021-05","Baldur's Gate",1968910
"2021-06","Baldur's Gate",1885864
"2021-07","Baldur's Gate",1830118
"2021-08","Baldur's Gate",2047680
"2021-09","Baldur's Gate",1963616
"2021-10","Baldur's Gate",2070464
"2021-11","Baldur's Gate",1925365
"2021-12","Baldur's Gate",2462332
"2022-01","Baldur's Gate",2049436
"2022-02","Baldur's Gate",1846726
"2022-03","Baldur's Gate",1795611
"2022-04","Baldur's Gate",1939226
"2022-05","Baldur's Gate",1991773
"2022-06","Baldur's Gate",2008766
"2022-07","Baldur's Gate",2011216
"2022-08","Baldur's Gate",1949961
"2022-09","Baldur's Gate",1737625
"2022-10","Baldur's Gate",1783277
"2022-11","Baldur's Gate",1626148
"2022-12","Baldur's Gate",1989883
"2023-01","Baldur's Gate",2058262
"2023-02","Baldur's Gate",1653909
"2023-03","Baldur's Gate",2105996
"2023-04","Baldur's Gate",1821304
"2023-05","Baldur's Gate",1860842
"2023-06","Baldur's Gate",1948955
"2023-07","Baldur's Gate",1883214
"2023-08","Baldur's Gate",1917061
"2023-09","Baldur's Gate",1745450
"2023-10","Baldur's Gate",1933692
"2023-11","Baldur's Gate",1954617
"2023-12","Baldur's Gate",1874705
"2019-01","Blingdenstone",95583
"2019-02","Blingdenstone",87947
"2019-03","Blingdenstone",92086
"2019-04","Blingdenstone",81058
"2019-05","Blingdenstone",55365
"2019-06","Blingdenstone",75344
"2019-07","Blingdenstone",151060
"2019-08","Blingdenstone",133420
"2019-09","Blingdenstone",124342
"2019-10","Blingdenstone",73019
"2019-11","Blingdenstone",108705
"2019-12","Blingdenstone",168525
"2020-01","Blingdenstone",52695
"2020-02","Blingdenstone",75446
"2020-03","Blingdenstone",166319
"2020-04","Blingdenstone",31150
"2020-05","Blingdenstone",107454
"2020-06","Blingdenstone",104422
"2020-07","Blingdenstone",146839
"2020-08","Blingdenstone",112182
"2020-09","Blingdenstone",83979
"2020-10","Blingdenstone",100171
"2020-11","Blingdenstone",151591
"2020-12","Blingdenstone",84109
"2021-01","Blingdenstone",126307
"2021-02","Blingdenstone",77459
"2021-03","Blingdenstone",150713
"2021-04","Blingdenstone",62604
"2021-05","Blingdenstone",130918
"2021-06","Blingdenstone",94761
"2021-07","Blingdenstone",146053
"2021-08","Blingdenstone",54900
"2021-09","Blingdenstone",95634
"2021-10","Blingdenstone",125763
"2021-11","Blingdenstone",145808
"2021-12","Blingdenstone",119293
"2022-01","Blingdenstone",127831
"2022-02","Blingdenstone",53533
"2022-03","Blingdenstone",138600
"2022-04","Blingdenstone",127034
"2022-05","Blingdenstone",64663
"2022-06","Blingdenstone",111350
"2022-07","Blingdenstone",124766
"2022-08","Blingdenstone",77955
"2022-09","Blingdenstone",94641
"2022-10","Blingdenstone",126143
"2022-11","Blingdenstone",86587
"2022-12","Blingdenstone",79556
"2023-01","Blingdenstone",81787
"2023-02","Blingdenstone",86039
"2023-03","Blingdenstone",65290
"2023-04","Blingdenstone",114194
"2023-05","Blingdenstone",144291
"2023-06","Blingdenstone",158100
"2023-07","Blingdenstone",119377
"2023-08","Blingdenstone",91871
"2023-09","Blingdenstone",115774
"2023-10","Blingdenstone",96997
"2023-11","Blingdenstone",49834
"2023-12","Blingdenstone",180888
"2019-01","Calimshan",1268431
"2019-02","Calimshan",1422486
"2019-03","Calimshan",1476544
"2019-04","Calimshan",1221787
"2019-05","Calimshan",1648541
"2019-06","Calimshan",1526897
"2019-07","Calimshan",1734704
"2019-08","Calimshan",1329415
"2019-09","Calimshan",1754911
"2019-10","Calimshan",1481930
"2019-11","Calimshan",1448836
"2019-12","Calimshan",1711351
"2020-01","Calimshan",1387959
"2020-02","Calimshan",1375793
"2020-03","Calimshan",1573727
"2020-04","Calimshan",1593270
"2020-05","Calimshan",1777517
"2020-06","Calimshan",1647563
"2020-07","Calimshan",1838935
"2020-08","Calimshan",2484808
"2020-09","Calimshan",2068446
"2020-10","Calimshan",2039929
"2020-11","Calimshan",2026356
"2020-12","Calimshan",1749563
"2021-01","Calimshan",2073425
"2021-02","Calimshan",1803642
"2021-03","Calimshan",1655799
"2021-04","Calimshan",1585453
"2021-05","Calimshan",1739118
"2021-06","Calimshan",1814637
"2021-07","Calimshan",1504023
"2021-08","Calimshan",1571473
"2021-09","Calimshan",1307991
"2021-10","Calimshan",1431637
"2021-11","Calimshan",1373687
"2021-12","Calimshan",1782959
"2022-01","Calimshan",1697541
"2022-02","Calimshan",1578774
"2022-03","Calimshan",1575082
"2022-04","Calimshan",1387474
"2022-05","Calimshan",1252583
"2022-06","Calimshan",1401452
"2022-07","Calimshan",1433848
"2022-08","Calimshan",1434748
"2022-09","Calimshan",1597089
"2022-10","Calimshan",1717482
"2022-11","Calimshan",1434480
"2022-12","Calimshan",1590192
"2023-01","Calimshan",1592354
"2023-02","Calimshan",1662483
"2023-03","Calimshan",1992485
"2023-04","Calimshan",1929424
"2023-05","Calimshan",1699088
"2023-06","Calimshan",1774019
"2023-07","Calimshan",1435982
"2023-08","Calimshan",1542849
"2023-09","Calimshan",1452122
"2023-10","Calimshan",1479663
"2023-11","Calimshan",1325078
"2023-12","Calimshan",1754864
"2019-01","Chessentea",1252629
"2019-02","Chessentea",1120865
"2019-03","Chessentea",1395743
"2019-04","Chessentea",1405223
"2019-05","Chessentea",1315621
"2019-06","Chessentea",1439518
"2019-07","Chessentea",1630936
"2019-08","Chessentea",1581311
"2019-09","Chessentea",1394153
"2019-10","Chessentea",1684040
"2019-11","Chessentea",1827946
"2019-12","Chessentea",1602426
"2020-01","Chessentea",1433605
"2020-02","Chessentea",1507645
"2020-03","Chessentea",1746722
"2020-04","Chessentea",1299188
"2020-05","Chessentea",1790328
"2020-06","Chessentea",1486458
"2020-07","Chessentea",1545943
"2020-08","Chessentea",1798053
"2020-09","Chessentea",1742882
"2020-10","Chessentea",1489277
"2020-11","Chessentea",1627023
"2020-12","Chessentea",1478989
"2021-01","Chessentea",1316880
"2021-02","Chessentea",1420251
"2021-03","Chessentea",1468669
"2021-04","Chessentea",1542352
"2021-05","Chessentea",1584050
"2021-06","Chessentea",1780772
"2021-07","Chessentea",1331881
"2021-08","Chessentea",1655572
"2021-09","Chessentea",1391413
"2021-10","Chessentea",1602490
"2021-11","Chessentea",1591254
"2021-12","Chessentea",1640340
"2022-01","Chessentea",1687201
"2022-02","Chessentea",1669963
"2022-03","Chessentea",1672907
"2022-04","Chessentea",1411847
"2022-05","Chessentea",1337064
"2022-06","Chessentea",1549227
"2022-07","Chessentea",1775877
"2022-08","Chessentea",1412840
"2022-09","Chessentea",1591505
"2022-10","Chessentea",1510624
"2022-11","Chessentea",1486073
"2022-12","Chessentea",1488760
"2023-01","Chessentea",1238953
"2023-02","Chessentea",1270756
"2023-03","Chessentea",1249442
"2023-04","Chessentea",1172480
"2023-05","Chessentea",1310485
"2023-06","Chessentea",1376334
"2023-07","Chessentea",1220716
"2023-08","Chessentea",1184529
"2023-09","Chessentea",1352292
"2023-10","Chessentea",1210050
"2023-11","Chessentea",1262975
"2023-12","Chessentea",1408960
"2019-01","Chondath",1122303
"2019-02","Chondath",1028432
"2019-03","Chondath",1218929
"2019-04","Chondath",1163441
"2019-05","Chondath",1259446
"2019-06","Chondath",1223523
"2019-07","Chondath",1379164
"2019-08","Chondath",1231059
"2019-09","Chondath",1016370
"2019-10","Chondath",1094496
"2019-11","Chondath",1071008
"2019-12","Chondath",1215155
"2020-01","Chondath",1539462
"2020-02","Chondath",1029660
"2020-03","Chondath",1155062
"2020-04","Chondath",1246943
"2020-05","Chondath",1370649
"2020-06","Chondath",1295586
"2020-07","Chondath",1443668
"2020-08","Chondath",959072
"2020-09","Chondath",988421
"2020-10","Chondath",1446604
"2020-11","Chondath",1345983
"2020-12","Chondath",1284799
"2021-01","Chondath",1235067
"2021-02","Chondath",1345621
"2021-03","Chondath",1423291
"2021-04","Chondath",1285533
"2021-05","Chondath",1262578
"2021-06","Chondath",1524547
"2021-07","Chondath",1275249
"2021-08","Chondath",1254573
"2021-09","Chondath",1314236
"2021-10","Chondath",1336711
"2021-11","Chondath",1263666
"2021-12","Chondath",1190869
"2022-01","Chondath",1262577
"2022-02","Chondath",1294736
"2022-03","Chondath",1296914
"2022-04","Chondath",1214241
"2022-05","Chondath",1216935
"2022-06","Chondath",1162655
"2022-07","Chondath",1328067
"2022-08","Chondath",1447626
"2022-09","Chondath",1234023
"2022-10","Chondath",1222810
"2022-11","Chondath",1097636
"2022-12","Chondath",1281618
"2023-01","Chondath",1176733
"2023-02","Chondath",1332228
"2023-03","Chondath",1262379
"2023-04","Chondath",1301253
"2023-05","Chondath",1436909
"2023-06","Chondath",1304031
"2023-07","Chondath",1254136
"2023-08","Chondath",1514252
"2023-09","Chondath",1362718
"2023-10","Chondath",1182168
"2023-11","Chondath",1290112
"2023-12","Chondath",1424467
"2019-01","Chult",464489
"2019-02","Chult",301694
"2019-03","Chult",371907
"2019-04","Chult",271051
"2019-05","Chult",272054
"2019-06","Chult",359128
"2019-07","Chult",474402
"2019-08","Chult",475309
"2019-09","Chult",454132
"2019-10","Chult",313301
"2019-11","Chult",348129
"2019-12","Chult",334573
"2020-01","Chult",368247
"2020-02","Chult",386972
"2020-03","Chult",504075
"2020-04","Chult",440081
"2020-05","Chult",555070
"2020-06","Chult",345684
"2020-07","Chult",375347
"2020-08","Chult",464635
"2020-09","Chult",403126
"2020-10","Chult",402736
"2020-11","Chult",298504
"2020-12","Chult",453532
"2021-01","Chult",264468
"2021-02","Chult",305457
"2021-03","Chult",394415
"2021-04","Chult",406459
"2021-05","Chult",322224
"2021-06","Chult",329455
"2021-07","Chult",261804
"2021-08","Chult",409725
"2021-09","Chult",385540
"2021-10","Chult",382721
"2021-11","Chult",239674
"2021-12","Chult",420922
"2022-01","Chult",369244
"2022-02","Chult",426726
"2022-03","Chult",248210
"2022-04","Chult",490164
"2022-05","Chult",277947
"2022-06","Chult",469150
"2022-07","Chult",328432
"2022-08","Chult",353585
"2022-09","Chult",353150
"2022-10","Chult",405290
"2022-11","Chult",436097
"2022-12","Chult",368415
"2023-01","Chult",369957
"2023-02","Chult",326596
"2023-03","Chult",318666
"2023-04","Chult",310480
"2023-05","Chult",388018
"2023-06","Chult",424784
"2023-07","Chult",387090
"2023-08","Chult",359659
"2023-09","Chult",435835
"2023-10","Chult",381074
"2023-11","Chult",399512
"2023-12","Chult",419321
"2019-01","Cormanthar",217597
"2019-02","Cormanthar",310165
"2019-03","Cormanthar",234846
"2019-04","Cormanthar",325177
"2019-05","Cormanthar",385831
"2019-06","Cormanthar",280478
"2019-07","Cormanthar",365203
"2019-08","Cormanthar",246288
"2019-09","Cormanthar",177628
"2019-10","Cormanthar",364072
"2019-11","Cormanthar",206774
"2019-12","Cormanthar",306866
"2020-01","Cormanthar",272415
"2020-02","Cormanthar",367179
"2020-03","Cormanthar",219151
"2020-04","Cormanthar",220077
"2020-05","Cormanthar",315363
"2020-06","Cormanthar",407189
"2020-07","Cormanthar",319339
"2020-08","Cormanthar",286867
"2020-09","Cormanthar",338269
"2020-10","Cormanthar",414712
"2020-11","Cormanthar",284433
"2020-12","Cormanthar",314822
"2021-01","Cormanthar",353642
"2021-02","Cormanthar",207666
"2021-03","Cormanthar",189408
"2021-04","Cormanthar",336915
"2021-05","Cormanthar",287374
"2021-06","Cormanthar",287001
"2021-07","Cormanthar",368241
"2021-08","Cormanthar",304301
"2021-09","Cormanthar",280387
"2021-10","Cormanthar",289756
"2021-11","Cormanthar",153225
"2021-12","Cormanthar",275853
"2022-01","Cormanthar",486504
"2022-02","Cormanthar",295566
"2022-03","Cormanthar",201879
"2022-04","Cormanthar",359076
"2022-05","Cormanthar",434649
"2022-06","Cormanthar",412513
"2022-07","Cormanthar",366355
"2022-08","Cormanthar",259748
"2022-09","Cormanthar",311412
"2022-10","Cormanthar",338798
"2022-11","Cormanthar",325152
"2022-12","Cormanthar",418043
"2023-01","Cormanthar",352111
"2023-02","Cormanthar",304701
"2023-03","Cormanthar",477228
"2023-04","Cormanthar",333762
"2023-05","Cormanthar",324258
"2023-06","Cormanthar",265027
"2023-07","Cormanthar",209269
"2023-08","Cormanthar",338294
"2023-09","Cormanthar",301173
"2023-10","Cormanthar",231060
"2023-11","Cormanthar",265840
"2023-12","Cormanthar",347401
"2019-01","Cormyr",1292719
"2019-02","Cormyr",1196551
"2019-03","Cormyr",1383400
"2019-04","Cormyr",1398720
"2019-05","Cormyr",1309180
"2019-06","Cormyr",1204502
"2019-07","Cormyr",1207083
"2019-08","Cormyr",1014869
"2019-09","Cormyr",1029262
"2019-10","Cormyr",1303878
"2019-11","Cormyr",1168747
"2019-12","Cormyr",1112143
"2020-01","Cormyr",1050807
"2020-02","Cormyr",1128635
"2020-03","Cormyr",1222119
"2020-04","Cormyr",1360374
"2020-05","Cormyr",1196831
"2020-06","Cormyr",1317088
"2020-07","Cormyr",1263481
"2020-08","Cormyr",1457232
"2020-09","Cormyr",1202036
"2020-10","Cormyr",1251986
"2020-11","Cormyr",1535834
"2020-12","Cormyr",1777218
"2021-01","Cormyr",1477999
"2021-02","Cormyr",1387877
"2021-03","Cormyr",1548561
"2021-04","Cormyr",1296093
"2021-05","Cormyr",1348192
"2021-06","Cormyr",1031849
"2021-07","Cormyr",1244641
"2021-08","Cormyr",1336381
"2021-09","Cormyr",1297527
"2021-10","Cormyr",1860314
"2021-11","Cormyr",1402865
"2021-12","Cormyr",1651594
"2022-01","Cormyr",1511621
"2022-02","Cormyr",1563534
"2022-03","Cormyr",1529010
"2022-04","Cormyr",995832
"2022-05","Cormyr",1499861
"2022-06","Cormyr",1438088
"2022-07","Cormyr",1385854
"2022-08","Cormyr",1211372
"2022-09","Cormyr",1633838
"2022-10","Cormyr",1779031
"2022-11","Cormyr",1467886
"2022-12","Cormyr",1331791
"2023-01","Cormyr",1182426
"2023-02","Cormyr",1243289
"2023-03","Cormyr",1352334
"2023-04","Cormyr",1475761
"2023-05","Cormyr",1351927
"2023-06","Cormyr",1322244
"2023-07","Cormyr",1430140
"2023-08","Cormyr",1520129
"2023-09","Cormyr",1539010
"2023-10","Cormyr",1342581
"2023-11","Cormyr",1413462
"2023-12","Cormyr",1250215
"2019-01","Damara",685715
"2019-02","Damara",576944
"2019-03","Damara",620110
"2019-04","Damara",652806
"2019-05","Damara",772618
"2019-06","Damara",625540
"2019-07","Damara",718002
"2019-08","Damara",760852
"2019-09","Damara",678931
"2019-10","Damara",776236
"2019-11","Damara",541844
"2019-12","Damara",682752
"2020-01","Damara",755082
"2020-02","Damara",619873
"2020-03","Damara",723337
"2020-04","Damara",559777
"2020-05","Damara",664897
"2020-06","Damara",916327
"2020-07","Damara",647869
"2020-08","Damara",647403
"2020-09","Damara",723239
"2020-10","Damara",667154
"2020-11","Damara",686210
"2020-12","Damara",754035
"2021-01","Damara",853970
"2021-02","Damara",748623
"2021-03","Damara",615518
"2021-04","Damara",517724
"2021-05","Damara",667966
"2021-06","Damara",601209
"2021-07","Damara",578292
"2021-08","Damara",759767
"2021-09","Damara",715563
"2021-10","Damara",714991
"2021-11","Damara",520733
"2021-12","Damara",653808
"2022-01","Damara",688889
"2022-02","Damara",674106
"2022-03","Damara",480925
"2022-04","Damara",627924
"2022-05","Damara",759865
"2022-06","Damara",704047
"2022-07","Damara",847781
"2022-08","Damara",599040
"2022-09","Damara",798654
"2022-10","Damara",658213
"2022-11","Damara",622342
"2022-12","Damara",765439
"2023-01","Damara",634725
"2023-02","Damara",564248
"2023-03","Damara",613867
"2023-04","Damara",762638
"2023-05","Damara",644058
"2023-06","Damara",745398
"2023-07","Damara",568328
"2023-08","Damara",783303
"2023-09","Damara",847202
"2023-10","Damara",888344
"2023-11","Damara",757600
"2023-12","Damara",748437
"2019-01","Dambrath",476927
"2019-02","Dambrath",636343
"2019-03","Dambrath",685635
"2019-04","Dambrath",476254
"2019-05","Dambrath",397077
"2019-06","Dambrath",506308
"2019-07","Dambrath",434694
"2019-08","Dambrath",347368
"2019-09","Dambrath",498302
"2019-10","Dambrath",557295
"2019-11","Dambrath",525946
"2019-12","Dambrath",472195
"2020-01","Dambrath",499643
"2020-02","Dambrath",547800
"2020-03","Dambrath",532075
"2020-04","Dambrath",401156
"2020-05","Dambrath",537802
"2020-06","Dambrath",540326
"2020-07","Dambrath",577267
"2020-08","Dambrath",521544
"2020-09","Dambrath",443515
"2020-10","Dambrath",504837
"2020-11","Dambrath",405684
"2020-12","Dambrath",489758
"2021-01","Dambrath",404366
"2021-02","Dambrath",503275
"2021-03","Dambrath",421162
"2021-04","Dambrath",446457
"2021-05","Dambrath",474835
"2021-06","Dambrath",346074
"2021-07","Dambrath",365601
"2021-08","Dambrath",505966
"2021-09","Dambrath",443045
"2021-10","Dambrath",363994
"2021-11","Dambrath",304878
"2021-12","Dambrath",433116
"2022-01","Dambrath",511367
"2022-02","Dambrath",506058
"2022-03","Dambrath",555266
"2022-04","Dambrath",528332
"2022-05","Dambrath",417469
"2022-06","Dambrath",465284
"2022-07","Dambrath",472761
"2022-08","Dambrath",477162
"2022-09","Dambrath",470274
"2022-10","Dambrath",590696
"2022-11","Dambrath",550720
"2022-12","Dambrath",434644
"2023-01","Dambrath",497883
"2023-02","Dambrath",433869
"2023-03","Dambrath",540752
"2023-04","Dambrath",664271
"2023-05","Dambrath",456189
"2023-06","Dambrath",417197
"2023-07","Dambrath",431174
"2023-08","Dambrath",480113
"2023-09","Dambrath",441619
"2023-10","Dambrath",489955
"2023-11","Dambrath",342916
"2023-12","Dambrath",529525
"2019-01","Durpar",564878
"2019-02","Durpar",506192
"2019-03","Durpar",590295
"2019-04","Durpar",582575
"2019-05","Durpar",658591
"2019-06","Durpar",779256
"2019-07","Durpar",1000377
"2019-08","Durpar",907760
"2019-09","Durpar",885866
"2019-10","Durpar",1089331
"2019-11","Durpar",604113
"2019-12","Durpar",852642
"2020-01","Durpar",668716
"2020-02","Durpar",759667
"2020-03","Durpar",921344
"2020-04","Durpar",867915
"2020-05","Durpar",833075
"2020-06","Durpar",1105602
"2020-07","Durpar",867782
"2020-08","Durpar",846426
"2020-09","Durpar",952247
"2020-10","Durpar",1056229
"2020-11","Durpar",1048263
"2020-12","Durpar",711030
"2021-01","Durpar",862634
"2021-02","Durpar",656372
"2021-03","Durpar",784402
"2021-04","Durpar",914648
"2021-05","Durpar",731098
"2021-06","Durpar",675025
"2021-07","Durpar",984536
"2021-08","Durpar",850719
"2021-09","Durpar",1010096
"2021-10","Durpar",1025304
"2021-11","Durpar",682541
"2021-12","Durpar",910010
"2022-01","Durpar",1026974
"2022-02","Durpar",973837
"2022-03","Durpar",825903
"2022-04","Durpar",923039
"2022-05","Durpar",678376
"2022-06","Durpar",796278
"2022-07","Durpar",905334
"2022-08","Durpar",611727
"2022-09","Durpar",872762
"2022-10","Durpar",836953
"2022-11","Durpar",634046
"2022-12","Durpar",639433
"2023-01","Durpar",418536
"2023-02","Durpar",646981
"2023-03","Durpar",573867
"2023-04","Durpar",482296
"2023-05","Durpar",603189
"2023-06","Durpar",601361
"2023-07","Durpar",736176
"2023-08","Durpar",515595
"2023-09","Durpar",654838
"2023-10","Durpar",733638
"2023-11","Durpar",624262
"2023-12","Durpar",636193
"2019-01","Dwarfholds",1621892
"2019-02","Dwarfholds",1256424
"2019-03","Dwarfholds",1554724
"2019-04","Dwarfholds",1427960
"2019-05","Dwarfholds",1550254
"2019-06","Dwarfholds",1228413
"2019-07","Dwarfholds",1312790
"2019-08","Dwarfholds",1509192
